Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Ava Taylor,F,SBD,Single-ply,16.5,16-17,14-18,F-T2,80.35,82.5,150,167.5,-182.5,,167.5,-70,90,100,,100,150,175,-187.5,,175,442.5,1,416.04,403.91,354.14,70.86,Yes,USA,TX,USAPL,,11/19/2022,USA,TX,,Longhorn Open
Ava Taylor,F,D,Single-ply,15.5,16-17,14-18,F-T1,81.6,84,,,,,,,,,,,-125,125,-140,,125,125,1,116.64,113.15,99.11,,Yes,USA,TX,USAPL,IPF,6/19/2021,USA,TX,,Europa Dallas Showdown
Ava Taylor,F,SBD,Single-ply,15.5,16-17,14-18,F-T1,81.6,84,-125,125,-135,,125,-67.5,-67.5,67.5,,67.5,-125,125,-140,,125,317.5,1,296.26,287.4,251.75,50.52,Yes,USA,TX,USAPL,IPF,6/19/2021,USA,TX,,Europa Dallas Showdown
Ava Taylor,F,BD,Single-ply,15.5,16-17,14-18,F-T1,81.6,84,,,,,,-67.5,-67.5,67.5,,67.5,-125,125,-140,,125,192.5,1,179.62,174.25,152.63,,Yes,USA,TX,USAPL,IPF,6/19/2021,USA,TX,,Europa Dallas Showdown
Ava Taylor,F,SBD,Single-ply,17.5,18-19,14-18,F-O,82.1,82.5,152.5,167.5,-190,,167.5,82.5,95,-105,,95,165,180,187.5,,187.5,450,4,418.64,406.02,355.51,71.42,Yes,USA,TX,USAPL,,6/17/2023,USA,,,Equipped Nationals
Ava Taylor,F,SBD,Single-ply,17.5,18-19,14-18,F-T2,82.1,82.5,152.5,167.5,-190,,167.5,82.5,95,-105,,95,165,180,187.5,,187.5,450,1,418.64,406.02,355.51,71.42,Yes,USA,TX,USAPL,,6/17/2023,USA,,,Equipped Nationals
Ava Taylor,F,SBD,Single-ply,14.5,13-15,14-18,Girls,75.8,82.3,,,,,99.79,,,,,54.43,,,,,97.52,251.74,13,243.83,237.74,209.04,41.35,Yes,USA,,THSWPA,,1/11/2020,USA,TX,Princeton,Official Princeton Invitational
Ava Taylor,F,SBD,Single-ply,14.5,13-15,14-18,Girls,76.11,82.3,,,,,104.33,,,,,54.43,,,,,106.59,265.35,5,256.46,249.97,219.76,43.51,Yes,USA,,THSWPA,,1/18/2020,USA,TX,Sunnyvale,SUNNYVALE INVITATIONAL
Ava Taylor,F,SBD,Single-ply,15.5,16-17,14-18,Girls,82.24,82.3,,,,,154.22,,,,,61.23,,,,,136.08,351.53,1,326.76,316.89,277.44,55.76,Yes,USA,,THSWPA,,2/4/2021,USA,TX,Frsico Memorial,Frisco Memorial Girls
Ava Taylor,F,SBD,Single-ply,14.5,13-15,14-18,Girls,77.11,82.3,,,,,108.86,,,,,54.43,,,,,120.2,283.5,2,272.15,264.97,232.81,46.21,Yes,USA,,THSWPA,,1/30/2020,USA,TX,Reedy,Reedy Invitational
Ava Taylor,F,SBD,Single-ply,15.5,16-17,14-18,Girls,82.1,82.3,,,,,161.03,,,,,68.04,,,,,131.54,360.61,1,335.48,325.36,284.89,57.23,Yes,USA,,THSWPA,,2/11/2021,USA,TX,Frisco Lone Star,Lone Star Dual 1
Ava Taylor,F,SBD,Single-ply,14.5,13-15,14-18,Girls,78.56,82.3,,,,,131.54,,,,,70.31,,,,,127.01,328.85,2,312.7,304.01,266.88,53.17,Yes,USA,,THSWPA,,2/20/2020,USA,TX,Prosper MPF,Prosper Invitational
Ava Taylor,F,SBD,Single-ply,15.5,16-17,14-18,Girls,81.96,82.3,,,,,170.1,,,,,72.57,,,,,145.15,387.82,4,361.1,350.23,306.7,61.6,Yes,USA,,THSWPA,,3/4/2021,USA,TX,Prosper,Region 6 Championship Meet
Ava Taylor,F,SBD,Single-ply,14.5,13-15,14-18,Girls,77.16,82.3,,,,,122.47,,,,,63.5,,,,,122.47,308.44,2,296,288.17,253.19,50.27,Yes,USA,,THSWPA,,2/12/2020,USA,TX,Frisco Memorial,Frisco District
Ava Taylor,F,SBD,Single-ply,15.5,16-17,14-18,Girls,83.14,90,,,,,149.69,,,,,65.77,,,,,131.54,347,2,320.87,311.05,272.13,54.8,Yes,USA,,THSWPA,,1/28/2021,USA,TX,Frisco Memorial,Frisco Memorial
C. Chadwick,M,B,Raw,,,,Open,,,,,,,,,,,,181.44,,,,,,181.44,5,,,,,,,,USA-UA,,9/12/1981,USA,NM,Alberquerque,New Mexico Open Bench Press
Gabriel Roberts,M,SBD,Single-ply,,,,Boys,49.44,51.7,,,,,58.97,,,,,63.5,,,,,79.38,201.85,1,203.05,209.08,206.48,34.02,Yes,,,THSPA,,1/9/2018,USA,TX,Springtown,Springtown Powerlifting Meet
James Dietz,M,SBD,Wraps,30.5,24-34,24-39,MW-O,120.7,125,100,110,-115,,110,75,80,-90,,80,140,150,165,,165,355,1,203.49,203.82,195.32,41.16,Yes,USA,WA,USAPL,,2/25/2023,USA,WA,,Rookie Meet
Cristiane De Almeida,F,B,Single-ply,26.5,24-34,24-39,Open,65.9,67.5,,,,,,62.5,-65,-67.5,,62.5,,,,,,62.5,3,65.43,64.91,57.28,36.7,Yes,Brazil,,FESUPO,IPF,11/21/2008,Argentina,,Villa Maria,Campeonato Sudamericano de Fuerza en Banco
Avry Burgans,M,SBD,Single-ply,,,,Boys,74.66,74.8,,,,,129.27,,,,,81.65,,,,,181.44,392.36,5,282.31,280.47,271.05,48.35,Yes,,,THSPA,,2/16/2017,USA,TX,Greenwood,Greenwood Ranger Invitational
Avry Burgans,M,SBD,Single-ply,,,,Boys,74.84,74.8,,,,,129.27,,,,,79.38,,,,,129.27,337.93,6,242.77,241.15,233.03,41.58,Yes,,,THSPA,,1/21/2017,USA,TX,Colorado City,C-City Invitational
Avry Burgans,M,SBD,Single-ply,,,,Boys,74.75,74.8,,,,,136.08,,,,,79.38,,,,,154.22,369.68,9,265.78,264.03,255.16,45.52,Yes,,,THSPA,,1/28/2017,USA,TX,Coahoma,Coahoma Invitational
Ernie Alderete,M,SBD,Single-ply,,,,Boys,118.02,124.7,,,,,226.8,,,,,120.2,,,,,204.12,551.11,8,318.28,318.11,304.75,53.61,Yes,,,THSPA,,3/12/2022,USA,TX,West,Boys Region 2 Division 2
Ernie Alderete,M,SBD,Single-ply,,,,Boys,121.2,124.7,,,,,249.48,,,,,124.74,,,,,195.04,569.26,5,325.86,326.54,312.91,54.81,Yes,,,THSPA,,2/19/2022,USA,TX,Del Valle,27th Annual Del Valle Invitational
Ernie Alderete,M,SBD,Single-ply,,,,Boys,120.38,124.7,,,,,226.8,,,,,129.27,,,,,199.58,555.65,4,318.78,319.22,305.9,53.64,Yes,,,THSPA,,1/29/2022,USA,TX,Elgin,Elgin Wildcat Invitational
Ernie Alderete,M,SBD,Single-ply,,,,Boys,121.11,124.7,,,,,206.38,,,,,120.2,,,,,183.7,510.29,2,292.17,292.76,280.54,49.14,Yes,,,THSPA,,1/15/2022,USA,TX,,Taylor High School Invitational
